"asset_id","asset_name","category","type","mission","scene_location","description","color_palette_hex","lighting_mood","lod_notes","file_path","source_pack","owner_dept","status"
"VFX-006","Leaf-Fall Particles","VFX","Particle System","M1","Village Lane at Dusk","Light autumn leaf-fall tied to Zephyr wind gusts (2 scripted gusts)","#B5482E / #C9912E","Dusk warm motion","GPU particles; wind-driven","Assets/_Project/Prefabs/VFX/LeafFall.prefab","Unity Particle System + Zephyr","VFX","Locked"
"VFX-007","Kettle Steam Wisp","VFX","VoluSmokeFX","M1","Hollow workbench","Single GPU steam wisp from the kettle","#F4E7CE","Soft warm interior","VFX Graph; single emitter","Assets/_Project/Prefabs/VFX/Steam_Kettle.prefab","VoluSmokeFX","VFX","Locked"
"VFX-008","Chimney Smoke","VFX","VoluSmokeFX","M1","Hollow exterior","Chimney smoke on the Hollow exterior","#9A9187","Dusk ambient","VFX Graph; LOD-culled at distance","Assets/_Project/Prefabs/VFX/Smoke_Chimney.prefab","VoluSmokeFX","VFX","Locked"
"VFX-009","Tea Steam","VFX","VoluSmokeFX","M2","Garden/Hollow/Cottage","Steam rising from the brewed tea cup","#F4E7CE","Soft warm","VFX Graph; single emitter","Assets/_Project/Prefabs/VFX/Steam_Tea.prefab","VoluSmokeFX","VFX","Locked"
"VFX-010","Dream Transition Wisp","VFX","VoluSmokeFX","M1-M2","Sleep transition","A wisp expands and dissolves into the Memory Dream cutscene; screen fades to amber","#F2B45A / #FFC68A","Amber dream onset","VFX Graph; full-screen blend","Assets/_Project/Prefabs/VFX/Dream_Wisp.prefab","VoluSmokeFX","VFX","Locked"
"VFX-011","Polish Clarity Sparkle","VFX","Mini-game FX","M1","Hollow workbench (Polish)","Sparkle/clarity reveal as the amber fog clears under the cursor; success chime sync","#F2B45A / #FFE0A0","Warm reveal","Shader-driven + light particle; LOD0","Assets/_Project/Prefabs/VFX/Polish_ClaritySparkle.prefab","All In 1 Shader Nodes + Particles","VFX","Locked"
"VFX-012","Cleanse Seal Thread","VFX","Mini-game FX","M2","Hollow workbench (Cleanse)","Glowing thread follows the cursor along a crack; crack seals behind it; core-crossing triggers regret fade","#FFE0A0 / #FF9650 core","Careful warm; cool on core damage","Shader-driven; LOD0","Assets/_Project/Prefabs/VFX/Cleanse_SealThread.prefab","All In 1 Shader Nodes + Particles","VFX","Locked"
"LGT-001","Lane Dusk Sun Rig","Lighting","Realtime Directional + Rig","M1","Village Lane at Dusk","Single directional sun, 35deg elevation azimuth 230; only realtime light in the lane; under-lit at spawn brightening to bakery","#FFC68A (int 1.4)","Dusk warm wayfinding","1 realtime light; mobile budget safe","Assets/_Project/Art/Lighting/Lane/Rig_Lane_Dusk.asset","URP Mobile","Lighting","Locked"
"LGT-002","LM_Evening (Hollow)","Lighting","Baked Lightmap Set","M1","Hollow Interior","2 baked area lights at 3200K low intensity; intentionally dim cozy for tired night eyes","#FFE0A0 warm 3200K","Dim cozy interior","Baked set; runtime-blendable; 4 realtime budget","Assets/_Project/Art/Lighting/Hollow/LM_Evening.asset","LightMap Fusion Pro","Lighting","Locked"
"LGT-003","Garden Morning Sun Rig","Lighting","Realtime Directional","M2","Herb Garden","Single directional sun, straight sunlit; brightest scene in M1-2 (contrast principle)","#FFF1D6","Bright morning garden 10:00","1 realtime light; no god rays needed","Assets/_Project/Art/Lighting/Garden/Rig_Garden_Morning.asset","URP Mobile","Lighting","Locked"
"LGT-004","LM_Cottage_Afternoon","Lighting","Baked Lightmap Set","M2","Widower's Cottage","Baked afternoon set; cool window ambient + warm hearth pools; 2 realtime lights","#9DB4C0 cool + #FF9650 hearth","Hearth-warm afternoon","Baked set; 2 realtime budget","Assets/_Project/Art/Lighting/Cottage/LM_Cottage_Afternoon.asset","LightMap Fusion Pro","Lighting","Locked"
"LGT-005","LM_Cottage_Evening","Lighting","Baked Lightmap Set (alt)","M2","Widower's Cottage","Alternate evening bake for ambient variance","#7A5C3E / #FF9650","Warmer dim evening","Baked alt set; runtime blend","Assets/_Project/Art/Lighting/Cottage/LM_Cottage_Evening.asset","LightMap Fusion Pro","Lighting","Locked"
"UI-001","Hearthbound Heat Theme","UI","Color Preset + Theme","M1-M2","System UI (global)","Heat UI preset #6 'Hearthbound': warm parchment + ember orange; humanist serif (Crimson Pro) via TMP; replaces default dark theme","#F4E7CE / #E8843C / #6B4A2B","Warm parchment","UI (no LOD); 1 TMP asset + 1 color preset","Assets/_Project/Art/UI/Theme/Hearthbound_HeatTheme.asset","Heat - Complete Modern UI","UI/UX","Locked"
"UI-002","Main Menu","UI","Screen","M1","Boot/Main Menu","'Open The Hollow' entry; composer main theme; warm parchment reskin","#F4E7CE / #E8843C","Warm parchment","UI (no LOD)","Assets/_Project/Art/UI/Screens/MainMenu.prefab","Heat - Complete Modern UI","UI/UX","Locked"
"UI-003","Loading Screen","UI","Screen","M1-M2","Transitions","Cozy tip: 'Some memories want to be sold. Some don't.'","#F4E7CE / #C9912E","Warm parchment","UI (no LOD)","Assets/_Project/Art/UI/Screens/LoadingScreen.prefab","Heat - Complete Modern UI","UI/UX","Locked"
"UI-004","Pause Menu","UI","Screen","M1-M2","Global","Pause incl. 'Memories' replay section for dreams/cutscenes","#F4E7CE / #6B4A2B","Warm parchment","UI (no LOD)","Assets/_Project/Art/UI/Screens/PauseMenu.prefab","Heat - Complete Modern UI","UI/UX","Locked"
"UI-005","HUD (day + memory-in-hand)","UI","HUD","M1-M2","Gameplay","Minimal HUD: day-of-week display + current memory-in-hand icon","#F4E7CE / #E8843C","Warm, unobtrusive","UI (no LOD)","Assets/_Project/Art/UI/HUD/HUD_Main.prefab","Heat - Complete Modern UI","UI/UX","Locked"
"UI-006","Mission Complete Screen","UI","Screen","M1-M2","End of mission","Repurposed end-game screen showing the Evening Ledger; never shows a FAILED string","#F4E7CE / #C9912E","Warm celebratory","UI (no LOD)","Assets/_Project/Art/UI/Screens/MissionComplete.prefab","Heat - Complete Modern UI","UI/UX","Locked"
"UI-007","Bamao Dialogue Box","UI","Diegetic UI","M1-M2","Dialogue","Parchment scroll box at screen bottom; portrait left + 3 choice scrolls; dragon motifs dropped","#F4E7CE / #7A5C3E","Warm parchment","UI sprite atlas <=2048; no LOD","Assets/_Project/Art/UI/Bamao/DialogueBox.prefab","Bamao Pack Fantasy GUI","UI/UX","Locked"
"UI-008","Evening Ledger (open book)","UI","Diegetic Screen","M1-M2","Hollow (close of day)","Bamao open-book panel; M1 save; click a Vow glyph -> Marin handwritten reflection","#F4E7CE / #C9912E / #6B4A2B","Warm parchment, candle-lit","UI sprite atlas; no LOD","Assets/_Project/Art/UI/Bamao/EveningLedger.prefab","Bamao Pack Fantasy GUI","UI/UX","Locked"
"UI-009","Memory Tooltip Frame","UI","Diegetic UI","M1-M2","Orb inspect","Parchment frame showing Colour/Clarity/Cracks/Weight readouts","#F4E7CE / #9A9187","Warm parchment","UI atlas; no LOD","Assets/_Project/Art/UI/Bamao/MemoryTooltip.prefab","Bamao Pack Fantasy GUI","UI/UX","Locked"
"UI-010","Shelf Labels","UI","Diegetic UI","M1-M2","Hollow shelves","Hand-lettered parchment shelf tags","#F4E7CE / #7A5C3E","Warm parchment","UI atlas; no LOD","Assets/_Project/Art/UI/Bamao/ShelfLabels.prefab","Bamao Pack Fantasy GUI","UI/UX","Locked"
"UI-011","Choice Card UI","UI","Diegetic UI","M2","Cottage (moral choice)","3 (+defer) choice scrolls with orb-in-hand; no timer, no stat bars, no moral-alignment meter","#F4E7CE / #B5482E","Warm, quiet","UI atlas; no LOD","Assets/_Project/Art/UI/Bamao/ChoiceCard.prefab","Bamao Pack Fantasy GUI","UI/UX","Locked"
"UI-012","Tone Compass","UI","Comfort UI","M1","Game start + content gates","Mandatory content-tone signal; part of the Cozy Contract (no content surprises)","#F4E7CE / #9DB4C0","Calm, reassuring","UI; no LOD","Assets/_Project/Art/UI/Comfort/ToneCompass.prefab","Custom + Heat","UI/UX + Comfort","Locked"
"UI-013","Gentle Mode Toggle","UI","Comfort UI","M1","Game start","Mandatory Gentle Mode toggle at start; opt-in unpunishing pacing","#F4E7CE / #7E8C5A","Calm","UI; no LOD","Assets/_Project/Art/UI/Comfort/GentleModeToggle.prefab","Custom + Heat","UI/UX + Comfort","Locked"
"UI-014","Comfort Tools Menu","UI","Comfort UI","M1-M2","Global","Color-blind (3 palettes), dyslexia font, subtitle tiers, per-character voice sliders, one-hand controls","#F4E7CE / #9DB4C0","Calm","UI; no LOD","Assets/_Project/Art/UI/Comfort/ComfortToolsMenu.prefab","Custom + Heat","UI/UX + Comfort","Locked"
"UI-015","Agenda Morning Card (P1)","UI","Loop Screen","M1-M2","Morning","The Living Day agenda card: 2-3 visitors + garden status + a gentle goal; player chooses order, no forced path","#F4E7CE / #C9912E","Warm morning","UI; no LOD","Assets/_Project/Art/UI/Loop/AgendaCard.prefab","Custom + Bamao","UI/UX","Locked"
"UI-016","Request Board (P2 [B])","UI","Loop Screen","M1-M2","Hollow","Never-empty villager queue board","#F4E7CE / #6B4A2B","Warm parchment","UI; no LOD","Assets/_Project/Art/UI/Loop/RequestBoard.prefab","Custom + Bamao","UI/UX","Locked"
"UI-017","My Hollow (P3 [U])","UI","Loop Screen","M1-M2","Hollow","Stock/arrange/upgrade/decorate ownership screen (M1-2: Level 1 visible)","#F4E7CE / #E8843C","Warm parchment","UI; no LOD","Assets/_Project/Art/UI/Loop/MyHollow.prefab","Custom + Bamao","UI/UX","Locked"
"UI-018","Garden & Tea (P4 [G])","UI","Loop Screen","M2","Garden","Grow -> brew -> use-as-tool panel (M1-2: Lavender + Valerian)","#9B86C4 / #7E8C5A","Bright garden","UI; no LOD","Assets/_Project/Art/UI/Loop/GardenTea.prefab","Custom + Bamao","UI/UX","Locked"
"UI-019","Living Workbench (P5 [K])","UI","Loop Screen","M1-M2","Hollow workbench","Varied skill-curved craft panel (M1-2: Polish + Cleanse)","#F4E7CE / #FFE0A0","Desk-lamp warm","UI; no LOD","Assets/_Project/Art/UI/Loop/Workbench.prefab","Custom + Bamao","UI/UX","Locked"
"UI-020","Memory Wall (P6 [M])","UI","Loop Screen","M1-M2","Hollow","Echo Web collection wall; Skill-Tree-Builder node graph reskinned (Memory/Connection/Cleanse Cost)","#F2B45A / #8C7AA6","Warm collection glow","UI; node graph; no LOD","Assets/_Project/Art/UI/Loop/MemoryWall.prefab","Skill Tree Builder + Bamao","UI/UX","Locked"
"UI-021","The Almanac (P7)","UI","Loop Screen","M1-M2","Global","Calendar of anticipation: festivals + visitors (Honey Festival tease)","#F4E7CE / #C9912E","Warm parchment","UI; no LOD","Assets/_Project/Art/UI/Loop/Almanac.prefab","Custom + Bamao","UI/UX","Locked"
"UI-022","The Journal ([J])","UI","Loop Screen","M1-M2","Global","Celebratory glance: Day / Coin / Memories / Echoes (D-076 visible progression, never anxious)","#F4E7CE / #E8843C","Warm celebratory","UI; no LOD","Assets/_Project/Art/UI/Loop/Journal.prefab","Custom + Bamao","UI/UX","Locked"
"UI-023","Doris Portrait","UI","2D Portrait","M1","Dialogue","Hand-painted dialogue portrait of Doris; warm, flour-dusted, kerchief","#F4E7CE / #C9912E","Warm","2D sprite; no LOD","Assets/_Project/Art/UI/Portraits/Portrait_Doris.png","Custom 2D","Concept/UI","In Progress"
"UI-024","Gerrold Portrait","UI","2D Portrait","M2","Dialogue","Hand-painted dialogue portrait of Gerrold; downcast, silver, coat","#7A5C3E / #6B4A2B","Muted warm","2D sprite; no LOD","Assets/_Project/Art/UI/Portraits/Portrait_Gerrold.png","Custom 2D","Concept/UI","In Progress"
"UI-025","Pickle Portrait/Caption","UI","2D Portrait","M1-M2","Dialogue (faint amber name)","Pickle speaker name in faint amber; minimal portrait; floats over scene low opacity","#F2B45A / #6E7378","Faint amber","2D sprite; no LOD","Assets/_Project/Art/UI/Portraits/Portrait_Pickle.png","Custom 2D","Concept/UI","In Progress"
"DRM-001","Dream 1 - First Loaves (set)","Memory Dream","2D Illustrated Cutscene","M1","Memory Dream 1","~60s warm short film; 1972 kitchen at first light; young Doris bakes alone, afraid, pulls golden loaves, wipes hands on apron; Spiritfarer-adjacent oversaturated golds","#F6C66B / #FFC68A / #F2B45A (JOY+GRACE)","Morning rig: pale gold low warmth","2D layered art + Timeline; no 3D LOD","Assets/_Project/Art/Dreams/Dream01_FirstLoaves/","Cutscene Engine + Custom 2D","Cinematic/Concept","In Progress"
"DRM-002","Lens_JOY LUT","Memory Dream","Color-Grade LUT","M1","Memory Dream 1","Full-timeline JOY color grade; fades out to amber at 55-60s","#F6C66B","Warm joy grade","LUT asset; post-grade","Assets/_Project/Art/Dreams/LUT/Lens_JOY.cube","Custom","Cinematic","Locked"
"DRM-003","Dream 2 - The Last Week (set)","Memory Dream","2D Illustrated Cutscene","M2","Memory Dream 2","~75-90s branching short film; Margery's last week; 4 narrative variants sharing assets; bedroom of a sick person set-piece; Gerrold cameo is the warm beat","#6B7E96 / #F6E2B3 (GRIEF+GRACE)","Dim-amber-evening rig","2D layered art + Timeline; 4 variants","Assets/_Project/Art/Dreams/Dream02_LastWeek/","Cutscene Engine + Custom 2D","Cinematic/Concept","In Progress"
"DRM-004","Lens_GRIEF_with_GRACE LUT","Memory Dream","Color-Grade LUT","M2","Memory Dream 2 (variant A/B)","GRIEF gentle + GRACE full blend; canonical Cleanse-Perfect grade","#6B7E96 / #F6E2B3","Grief warmed by grace","LUT asset","Assets/_Project/Art/Dreams/LUT/Lens_GRIEF_with_GRACE.cube","Custom","Cinematic","Locked"
"DRM-005","Lens_GRIEF_SHAME LUT","Memory Dream","Color-Grade LUT","M2","Memory Dream 2 (variant - erase/crossed)","GRIEF + SHAME surge grade for the over-cleanse / crossed-core variants","#6B7E96 / #8A6A3A","Cooler, heavier","LUT asset","Assets/_Project/Art/Dreams/LUT/Lens_GRIEF_SHAME.cube","Custom","Cinematic","Locked"
"DRM-006","Lens_GRIEF_GRACE_WONDER LUT","Memory Dream","Color-Grade LUT","M2","Memory Dream 2 (Listen / Vow 7 variant)","GRIEF gentle + GRACE full + WONDER golden trace (the wonder of being heard)","#6B7E96 / #F6E2B3 / #EBD9A0","Tender, golden-traced","LUT asset","Assets/_Project/Art/Dreams/LUT/Lens_GRIEF_GRACE_WONDER.cube","Custom","Cinematic","Locked"
"DRM-007","Dream Title Cards","Memory Dream","2D UI","M1-M2","Memory Dreams","'The First Loaves' / 'The Last Week' lower-third titles in Bamao parchment frame","#F4E7CE / #7A5C3E","Warm lower-third","2D sprite; no LOD","Assets/_Project/Art/Dreams/TitleCards/","Bamao + Custom","Cinematic/UI","Locked"
"CON-001","Lane Color Script","Concept","Color Script","M1","Village Lane at Dusk","Master color/lighting script: under-lit spawn brightening to warm bakery; god-ray wayfinding","#FFC68A / #E8843C / #B5482E","Dusk warm wayfinding","2D reference; no engine LOD","Docs/ART_PRODUCTION/concept/colorscript_lane.md","Custom","Concept","Locked"
"CON-002","Hollow Color Script","Concept","Color Script","M1-M2","Hollow Interior","Dim cozy 3200K with warm pools (stove/lamp/shelf candles); predecessor-seed prop highlights","#FFE0A0 / #FF9650 / #6B4A2B","Dim cozy interior","2D reference","Docs/ART_PRODUCTION/concept/colorscript_hollow.md","Custom","Concept","Locked"
"CON-003","Garden Color Script","Concept","Color Script","M2","Herb Garden","Bright alive morning; contrast principle vs interior; lavender/valerian accents","#FFF1D6 / #9B86C4 / #7E8C5A","Bright morning garden","2D reference","Docs/ART_PRODUCTION/concept/colorscript_garden.md","Custom","Concept","Locked"
"CON-004","Cottage Color Script","Concept","Color Script","M2","Widower's Cottage","Cool window ambient + warm hearth; mood-tellers (empty feeder, dead lavender, cold tea, two settings)","#9DB4C0 / #FF9650 / #7A5C3E","Hearth-warm afternoon","2D reference","Docs/ART_PRODUCTION/concept/colorscript_cottage.md","Custom","Concept","Locked"
"CON-005","Doris Character Turnaround","Concept","Character Concept","M1","Pre-production","Turnaround + costume callouts for the Cleric reskin","#F4E7CE / #C9912E","Warm","2D reference","Docs/ART_PRODUCTION/concept/char_doris.md","Custom","Concept","Locked"
"CON-006","Gerrold Character Turnaround","Concept","Character Concept","M2","Pre-production","Turnaround + costume callouts for the Bard reskin; carried-weight silhouette","#7A5C3E / #6B4A2B","Muted","2D reference","Docs/ART_PRODUCTION/concept/char_gerrold.md","Custom","Concept","Locked"
"CON-007","Pickle Concept","Concept","Character Concept","M1-M2","Pre-production","Slate-grey tabby w/ white sock; expression sheet incl. 'judging stare'","#6E7378 / #F4E7CE","Soft","2D reference","Docs/ART_PRODUCTION/concept/char_pickle.md","Custom","Concept","Locked"
"CON-008","Memory Orb Palette Sheet","Concept","Palette/Material Study","M1-M2","All scenes","Emotional-palette to hex mapping for orb hums/dream lenses (JOY/GRIEF/GRACE/SHAME/LONGING/WONDER)","#F6C66B / #6B7E96 / #F6E2B3 / #8A6A3A / #8C7AA6 / #EBD9A0","Per-emotion","2D reference","Docs/ART_PRODUCTION/concept/palette_orbs.md","Custom","Concept/Tech Art","Locked"
